from_pin.full_name,to_pin.full_name,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i58/i421/Y,i58/i396/B,0.0015736717484671203,0.0015689671784002712,0.0015736717484671203,UNINIT,0.0015689671784002712,UNINIT
i58/i421/Y,i58/i386/B,0.0015694875954430643,0.0015647483309066956,0.0015694875954430643,UNINIT,0.0015647483309066956,UNINIT
i58/i421/Y,i58/i224/B1,0.00149979334507222,0.0014955259253213171,0.00149979334507222,UNINIT,0.0014955259253213171,UNINIT
i58/i421/Y,i58/i230/A2,0.0010046061205137846,0.0010030171138097899,0.0010046061205137846,UNINIT,0.0010030171138097899,UNINIT
i58/i421/Y,i58/i332/B,0.0011712089631465972,0.0011688913725826922,0.0011712089631465972,UNINIT,0.0011688913725826922,UNINIT
i58/i421/Y,i58/i280/A1,0.0009806253031818812,0.000979293035552331,0.0009806253031818812,UNINIT,0.000979293035552331,UNINIT
i58/i421/Y,i58/i133/A1,0.0007006617508409363,0.0007002176616310862,0.0007006617508409363,UNINIT,0.0007002176616310862,UNINIT
i58/i421/Y,i58/i210/B2,0.00021867924138163628,0.00021858209686698157,0.00021867924138163628,UNINIT,0.00021858209686698157,UNINIT
i58/i421/Y,i58/i304/B,0.00030923874572152954,0.0003091762956763944,0.00030923874572152954,UNINIT,0.0003091762956763944,UNINIT
i58/i413/Y,i58/i359/A,0.0001721123243925149,0.00017177231859122344,0.0001721123243925149,UNINIT,0.00017177231859122344,UNINIT
i58/i413/Y,i58/i164/C,7.116529587847253e-05,7.07420233503342e-05,7.116529587847253e-05,UNINIT,7.07420233503342e-05,UNINIT
i58/i413/Y,i58/i186/C,0.00015529244556944377,0.00015488998972301715,0.00015529244556944377,UNINIT,0.00015488998972301715,UNINIT
i58/i435/Y,i58/i229/B1,0.001219836731625179,0.0012123912984662866,0.001219836731625179,UNINIT,0.0012123912984662866,UNINIT
i58/i435/Y,i58/i368/A,0.0012192677423250586,0.0012117876146966466,0.0012192677423250586,UNINIT,0.0012117876146966466,UNINIT
i58/i435/Y,i58/i397/B,0.0011194170590478336,0.001113185932322125,0.0011194170590478336,UNINIT,0.001113185932322125,UNINIT
i58/i435/Y,i58/i203/A2,0.001058285403754411,0.0010526302052227265,0.001058285403754411,UNINIT,0.0010526302052227265,UNINIT
i58/i435/Y,i58/i398/A,0.0009108755416598057,0.0009061154604417253,0.0009108755416598057,UNINIT,0.0009061154604417253,UNINIT
i58/i435/Y,i58/i260/B1,0.0009127004707565333,0.0009079889617957803,0.0009127004707565333,UNINIT,0.0009079889617957803,UNINIT
i58/i435/Y,i58/i522/A2,0.0006897676874118019,0.0006867770241392179,0.0006897676874118019,UNINIT,0.0006867770241392179,UNINIT
i58/i435/Y,i58/i421/A,0.0006137451658005944,0.000612496164897891,0.0006137451658005944,UNINIT,0.000612496164897891,UNINIT
i58/i435/Y,i58/i519/B2,0.0005660610868929439,0.0005648675971414718,0.0005660610868929439,UNINIT,0.0005648675971414718,UNINIT
i58/i435/Y,i58/i498/A,0.0004605413272962266,0.0004593755931203702,0.0004605413272962266,UNINIT,0.0004593755931203702,UNINIT
i58/i433/Y,i58/i233/B1,0.002403709176146407,0.0024013430133251745,0.002403709176146407,UNINIT,0.0024013430133251745,UNINIT
i58/i433/Y,i58/i145/A1,0.002370950658026061,0.0023688065398097535,0.002370950658026061,UNINIT,0.0023688065398097535,UNINIT
i58/i433/Y,i58/i322/A,0.002351056849203559,0.0023489057920933476,0.002351056849203559,UNINIT,0.0023489057920933476,UNINIT
i58/i433/Y,i58/i387/A,0.0022852622572067105,0.0022832569168684813,0.0022852622572067105,UNINIT,0.0022832569168684813,UNINIT
i58/i433/Y,i58/i368/B,0.0022520596498765144,0.0022500473706443813,0.0022520596498765144,UNINIT,0.0022500473706443813,UNINIT
i58/i433/Y,i58/i338/B,0.0021220733503746203,0.0021204218936254904,0.0021220733503746203,UNINIT,0.0021204218936254904,UNINIT
i58/i433/Y,i58/i235/A1,0.0018885795705081419,0.001887663636512826,0.0018885795705081419,UNINIT,0.001887663636512826,UNINIT
i58/i433/Y,i58/i183/B1,0.0014576048701364641,0.0014575840534547524,0.0014576048701364641,UNINIT,0.0014575840534547524,UNINIT
i58/i433/Y,i58/i260/A1,0.0014526990721464017,0.0014526643776768822,0.0014526990721464017,UNINIT,0.0014526643776768822,UNINIT
i58/i433/Y,i58/i337/A,0.001021779882925955,0.0010220227442125918,0.001021779882925955,UNINIT,0.0010220227442125918,UNINIT
i58/i433/Y,i58/i510/A1,0.0007633130238993147,0.0007637640520030686,0.0007633130238993147,UNINIT,0.0007637640520030686,UNINIT
i58/i433/Y,i58/i371/A,0.0006280392872426432,0.0006281711262268175,0.0006280392872426432,UNINIT,0.0006281711262268175,UNINIT
i58/i433/Y,i58/i339/B,0.0006493208748459267,0.0006495151638752361,0.0006493208748459267,UNINIT,0.0006495151638752361,UNINIT
i58/i420/Y,i58/i531/A2,0.00020381613063946702,0.00020406593082000768,0.00020381613063946702,UNINIT,0.00020406593082000768,UNINIT
i58/i420/Y,i58/i271/A2,0.00020535656508613442,0.00020548840407030866,0.00020535656508613442,UNINIT,0.00020548840407030866,UNINIT
i58/i420/Y,i58/i329/B,0.00016158602234028763,0.00016170398353665405,0.00016158602234028763,UNINIT,0.00016170398353665405,UNINIT
i58/i420/Y,i58/i251/A1,0.00010907941216942162,0.00010921125115359585,0.00010907941216942162,UNINIT,0.00010921125115359585,UNINIT
i58/i420/Y,i58/i107/A2,0.00017843365673897438,0.00017841977895116656,0.00017843365673897438,UNINIT,0.00017841977895116656,UNINIT
i58/i420/Y,i58/i219/B1,0.00015418222254481861,0.0001543626337863202,0.00015418222254481861,UNINIT,0.0001543626337863202,UNINIT
i58/i420/Y,i58/i332/A,0.0001582900477359317,0.0001585745423859919,0.0001582900477359317,UNINIT,0.0001585745423859919,UNINIT
i58/i420/Y,i58/i250/A2,0.00018100104748342005,0.00018099410858951615,0.00018100104748342005,UNINIT,0.00018099410858951615,UNINIT
i58/i432/Y,i58/i556/B1,0.001970770768799923,0.0019564766473578743,0.001970770768799923,UNINIT,0.0019564766473578743,UNINIT
i58/i432/Y,i58/i207/B1,0.0022134377664073668,0.0021940921302032734,0.0022134377664073668,UNINIT,0.0021940921302032734,UNINIT
i58/i432/Y,i58/i420/A,0.0019611395840613,0.0019470675072241759,0.0019611395840613,UNINIT,0.0019470675072241759,UNINIT
i58/i432/Y,i58/i560/A,0.0019296855779948883,0.001915946568065152,0.0019296855779948883,UNINIT,0.001915946568065152,UNINIT
i58/i432/Y,i58/i324/A,0.002200767346138832,0.002181629876751856,0.002200767346138832,UNINIT,0.002181629876751856,UNINIT
i58/i432/Y,i58/i273/B1,0.002183489500318103,0.0021647614256714576,0.002183489500318103,UNINIT,0.0021647614256714576,UNINIT
i58/i432/Y,i58/i235/B2,0.0018295920334310265,0.0018173518245845342,0.0018295920334310265,UNINIT,0.0018173518245845342,UNINIT
i58/i432/Y,i58/i331/A,0.002097107210108362,0.002080065286680366,0.002097107210108362,UNINIT,0.002080065286680366,UNINIT
i58/i432/Y,i58/i260/B2,0.0018883020147519856,0.0018749654606686759,0.0018883020147519856,UNINIT,0.0018749654606686759,UNINIT
i58/i432/Y,i58/i252/B2,0.0018135284940434813,0.0018012952240908928,0.0018135284940434813,UNINIT,0.0018012952240908928,UNINIT
i58/i432/Y,i58/i555/A2,0.0014546627791212074,0.0014467385622829454,0.0014546627791212074,UNINIT,0.0014467385622829454,UNINIT
i58/i432/Y,i58/i292/B2,0.0021057391941248227,0.0020887805374236734,0.0021057391941248227,UNINIT,0.0020887805374236734,UNINIT
i58/i432/Y,i58/i291/B1,0.0011914358388764867,0.0011857667625569945,0.0011914358388764867,UNINIT,0.0011857667625569945,UNINIT
i58/i432/Y,i58/i344/A,0.0006004502450807081,0.0005983130657583047,0.0006004502450807081,UNINIT,0.0005983130657583047,UNINIT
i58/i419/Y,i58/i362/B,0.00028407831642596193,0.0002825101264036789,0.00028407831642596193,UNINIT,0.0002825101264036789,UNINIT
i58/i419/Y,i58/i396/A,0.00028581303990193874,0.0002839742330174033,0.00028581303990193874,UNINIT,0.0002839742330174033,UNINIT
i58/i419/Y,i58/i255/B1,0.0001901673263304815,0.00018995915951336428,0.0001901673263304815,UNINIT,0.00018995915951336428,UNINIT
i58/i419/Y,i58/i306/B,0.00027545327130340524,0.00027525898227409584,0.00027545327130340524,UNINIT,0.00027525898227409584,UNINIT
i58/i419/Y,i58/i196/A1,0.00018905710330585634,0.00018888363095825866,0.00018905710330585634,UNINIT,0.00018888363095825866,UNINIT
i58/i419/Y,i58/i350/B,0.00020819457269283248,0.00020786844467934884,0.00020819457269283248,UNINIT,0.00020786844467934884,UNINIT
i58/i419/Y,i58/i391/A,0.0002672723153906986,0.0002671543541943322,0.0002672723153906986,UNINIT,0.0002671543541943322,UNINIT
