from_pin.full_name,to_pin.full_name,sense,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i43/i46/i159/A2,i43/i46/i159/Y,negative_unate,12.713673,9.869775,12.713673,UNINIT,9.869775,UNINIT
i43/i46/i159/A3,i43/i46/i159/Y,negative_unate,12.633275,11.383936,12.633275,UNINIT,11.383936,UNINIT
i43/i46/i159/B,i43/i46/i159/Y,negative_unate,9.352835,12.87655,9.352835,UNINIT,12.87655,UNINIT
i43/i46/i16/A,i43/i46/i16/Y,negative_unate,12.196052,14.173808,12.196052,UNINIT,14.173808,UNINIT
i43/i46/i16/B,i43/i46/i16/Y,negative_unate,10.561347,10.396958,10.561347,UNINIT,10.396958,UNINIT
i43/i46/i160/A,i43/i46/i160/Y,negative_unate,7.882091,8.404508,7.882091,UNINIT,8.404508,UNINIT
i43/i46/i160/B,i43/i46/i160/Y,negative_unate,8.611084,8.249631,8.611084,UNINIT,8.249631,UNINIT
i43/i46/i160/C,i43/i46/i160/Y,negative_unate,10.831958,7.870173,10.831958,UNINIT,7.870173,UNINIT
i43/i46/i161/A1,i43/i46/i161/Y,negative_unate,10.300313,9.775132,10.300313,UNINIT,9.775132,UNINIT
i43/i46/i161/A2,i43/i46/i161/Y,negative_unate,9.988549,7.311625,9.988549,UNINIT,7.311625,UNINIT
i43/i46/i161/B,i43/i46/i161/Y,negative_unate,12.726974,8.604369,12.726974,UNINIT,8.604369,UNINIT
i43/i46/i162/A1,i43/i46/i162/Y,negative_unate,21.262346,15.965318,21.262346,UNINIT,15.965318,UNINIT
i43/i46/i162/A2,i43/i46/i162/Y,negative_unate,24.558167,21.611113,24.558167,UNINIT,21.611113,UNINIT
i43/i46/i162/B,i43/i46/i162/Y,negative_unate,22.442755,14.567568,22.442755,UNINIT,14.567568,UNINIT
i43/i46/i162/C,i43/i46/i162/Y,negative_unate,21.571846,15.511147,21.571846,UNINIT,15.511147,UNINIT
i43/i46/i163/A1,i43/i46/i163/Y,negative_unate,9.572679,9.221067,9.572679,UNINIT,9.221067,UNINIT
i43/i46/i163/A2,i43/i46/i163/Y,negative_unate,11.235215,8.581026,11.235215,UNINIT,8.581026,UNINIT
i43/i46/i163/B,i43/i46/i163/Y,negative_unate,9.403975,8.156267,9.403975,UNINIT,8.156267,UNINIT
i43/i46/i164/A1,i43/i46/i164/Y,negative_unate,12.915898,8.864639,12.915898,UNINIT,8.864639,UNINIT
i43/i46/i164/A2,i43/i46/i164/Y,negative_unate,12.218376,9.617133,12.218376,UNINIT,9.617133,UNINIT
i43/i46/i164/A3,i43/i46/i164/Y,negative_unate,11.917308,10.567255,11.917308,UNINIT,10.567255,UNINIT
i43/i46/i164/B,i43/i46/i164/Y,negative_unate,10.87643,14.703482,10.87643,UNINIT,14.703482,UNINIT
i43/i46/i165/A1,i43/i46/i165/Y,positive_unate,13.407477,17.928738,13.407477,UNINIT,17.928738,UNINIT
i43/i46/i165/A2,i43/i46/i165/Y,positive_unate,14.631332,16.038164,14.631332,UNINIT,16.038164,UNINIT
i43/i46/i165/B,i43/i46/i165/Y,positive_unate,13.494201,17.97134,13.494201,UNINIT,17.97134,UNINIT
i43/i46/i166/A,i43/i46/i166/Y,negative_unate,13.298213,15.695939,13.298213,UNINIT,15.695939,UNINIT
i43/i46/i166/B,i43/i46/i166/Y,negative_unate,12.349362,11.601225,12.349362,UNINIT,11.601225,UNINIT
i43/i46/i167/A1,i43/i46/i167/Y,positive_unate,11.731302,14.874061,11.731302,UNINIT,14.874061,UNINIT
i43/i46/i167/A2,i43/i46/i167/Y,positive_unate,14.420443,17.117836,14.420443,UNINIT,17.117836,UNINIT
i43/i46/i167/B,i43/i46/i167/Y,positive_unate,12.171862,16.493826,12.171862,UNINIT,16.493826,UNINIT
i43/i46/i168/A1,i43/i46/i168/Y,negative_unate,11.508997,11.391188,11.508997,UNINIT,11.391188,UNINIT
i43/i46/i168/A2,i43/i46/i168/Y,negative_unate,12.881189,10.324147,12.881189,UNINIT,10.324147,UNINIT
i43/i46/i168/B,i43/i46/i168/Y,negative_unate,12.478632,6.682394,12.478632,UNINIT,6.682394,UNINIT
i43/i46/i168/C,i43/i46/i168/Y,negative_unate,8.498907,12.16801,8.498907,UNINIT,12.16801,UNINIT
